schwebung 19.2cm
9.924 0.483 3.385
9.949 0.683 3.239
9.974 0.860 3.069
9.999 1.038 2.899
10.024 1.171 2.777
10.049 1.415 2.607
10.074 1.460 2.437
10.099 1.615 2.194
10.124 1.637 2.048
10.149 1.704 1.757
10.174 1.726 1.562
10.199 1.771 1.319
10.224 1.748 1.125
10.249 1.748 0.858
10.274 1.593 0.615
10.299 1.482 0.396
10.324 1.371 0.177
10.349 1.282 0.031
10.374 1.149 -0.114
10.399 0.971 -0.382
10.424 0.794 -0.503
10.449 0.594 -0.698
10.474 0.328 -0.843
10.499 0.172 -0.916
10.524 -0.072 -1.013
10.549 -0.227 -1.086
10.574 -0.516 -1.086
10.599 -0.782 -1.135
10.624 -1.071 -1.159
10.649 -1.249 -1.159
10.674 -1.493 -1.062
10.699 -1.670 -0.965
10.724 -1.915 -0.916
10.749 -2.137 -0.892
10.774 -2.336 -0.673
10.799 -2.447 -0.576
10.824 -2.603 -0.430
10.849 -2.736 -0.309
10.874 -2.847 -0.139
10.899 -2.936 0.031
10.924 -3.002 0.274
10.949 -2.980 0.445
10.974 -3.025 0.687
10.999 -3.025 0.930
11.024 -3.025 1.076
11.049 -2.980 1.246
11.074 -2.891 1.465
11.099 -2.780 1.659
11.124 -2.692 1.854
11.149 -2.536 2.048
11.174 -2.403 2.243
11.199 -2.248 2.364
11.224 -2.092 2.510
11.249 -1.870 2.656
11.274 -1.670 2.753
11.299 -1.448 2.826
11.324 -1.182 2.874
11.349 -0.938 2.923
11.374 -0.649 3.020
11.399 -0.427 2.996
11.424 -0.183 3.020
11.449 0.083 2.972
11.474 0.328 2.923
11.499 0.505 2.826
11.524 0.727 2.753
11.549 0.971 2.729
11.574 1.149 2.607
11.599 1.304 2.461
11.624 1.460 2.389
11.649 1.593 2.194
11.674 1.704 2.024
11.699 1.771 1.902
11.724 1.837 1.732
11.749 1.882 1.538
11.774 1.926 1.344
11.799 1.882 1.173
11.824 1.815 0.979
11.849 1.793 0.833
11.874 1.704 0.687
11.899 1.571 0.517
11.924 1.438 0.372
11.949 1.282 0.177
11.974 1.127 0.080
11.999 0.927 -0.066
12.024 0.727 -0.163
12.049 0.527 -0.284
12.074 0.283 -0.382
12.099 0.061 -0.503
12.124 -0.227 -0.527
12.149 -0.472 -0.552
12.174 -0.716 -0.600
12.199 -0.982 -0.649
12.224 -1.226 -0.625
12.249 -1.471 -0.600
12.277 -1.648 -0.552
12.302 -1.915 -0.527
12.327 -2.159 -0.430
12.352 -2.336 -0.382
12.378 -2.514 -0.187
12.403 -2.669 -0.114
12.428 -2.869 -0.041
12.453 -2.914 0.129
12.478 -3.047 0.226
12.510 -3.136 0.396
12.535 -3.180 0.542
12.560 -3.158 0.760
12.585 -3.180 0.882
12.610 -3.136 1.052
12.635 -3.091 1.173
12.660 -2.980 1.295
12.685 -2.914 1.441
12.710 -2.780 1.538
12.735 -2.647 1.684
12.760 -2.514 1.781
12.785 -2.270 1.927
12.810 -2.070 2.048
12.835 -1.870 2.121
12.860 -1.626 2.194
12.885 -1.360 2.267
12.910 -1.093 2.340
12.935 -0.938 2.413
12.960 -0.627 2.437
12.985 -0.361 2.461
13.010 -0.094 2.437
13.035 0.106 2.437
13.060 0.372 2.389
13.085 0.594 2.389
13.110 0.883 2.291
13.135 1.038 2.243
13.160 1.260 2.170
13.185 1.460 2.097
13.210 1.571 1.975
13.235 1.704 1.927
13.260 1.793 1.732
13.285 1.859 1.732
13.310 1.993 1.562
13.335 1.970 1.441
13.360 1.993 1.392
13.385 2.015 1.222
13.410 1.948 1.125
13.435 1.815 1.028
13.460 1.771 0.833
13.485 1.615 0.760
13.510 1.438 0.615
13.535 1.327 0.542
13.560 1.105 0.396
13.585 0.927 0.372
13.610 0.772 0.274
13.635 0.527 0.177
13.660 0.261 0.104
13.685 -0.005 0.056
13.710 -0.272 -0.017
13.735 -0.516 0.007
13.760 -0.782 -0.017
13.785 -1.004 -0.017
13.810 -1.271 -0.066
13.835 -1.493 -0.041
13.860 -1.804 0.031
13.885 -1.981 0.031
13.910 -2.181 0.031
13.935 -2.425 0.104
13.960 -2.603 0.153
13.985 -2.736 0.226
14.010 -2.914 0.274
14.035 -2.980 0.347
14.060 -3.091 0.396
14.085 -3.136 0.542
14.110 -3.202 0.566
14.135 -3.269 0.712
14.160 -3.313 0.760
14.185 -3.247 0.833
14.210 -3.158 1.003
14.235 -3.091 1.076
14.260 -2.958 1.173
14.285 -2.847 1.198
14.310 -2.692 1.319
14.335 -2.492 1.441
14.360 -2.336 1.514
14.385 -2.181 1.562
14.410 -1.892 1.635
14.435 -1.693 1.684
14.460 -1.426 1.732
14.485 -1.204 1.757
14.510 -0.960 1.805
14.535 -0.738 1.781
14.560 -0.427 1.854
14.585 -0.183 1.830
14.610 0.106 1.902
14.635 0.372 1.878
14.660 0.638 1.927
14.685 0.838 1.951
14.710 1.016 1.781
14.735 1.282 1.781
14.760 1.438 1.781
14.785 1.615 1.708
14.810 1.748 1.684
