# E [eV]	n [1/s]
1.939999999999999947e+00	2.000000000000000000e+00
2.009999999999999787e+00	6.000000000000000000e+00
2.069999999999999840e+00	2.000000000000000000e+00
2.140000000000000124e+00	6.000000000000000000e+00
2.209999999999999964e+00	7.000000000000000000e+00
2.270000000000000018e+00	3.000000000000000000e+00
2.339999999999999858e+00	8.000000000000000000e+00
2.410000000000000142e+00	3.000000000000000000e+00
2.470000000000000195e+00	6.000000000000000000e+00
2.540000000000000036e+00	1.000000000000000000e+01
2.609999999999999876e+00	5.000000000000000000e+00
2.669999999999999929e+00	6.000000000000000000e+00
2.740000000000000213e+00	1.000000000000000000e+01
2.810000000000000053e+00	9.000000000000000000e+00
2.870000000000000107e+00	4.000000000000000000e+00
2.939999999999999947e+00	1.000000000000000000e+01
3.009999999999999787e+00	8.000000000000000000e+00
3.069999999999999840e+00	0.000000000000000000e+00
3.140000000000000124e+00	9.000000000000000000e+00
3.209999999999999964e+00	4.000000000000000000e+00
3.270000000000000018e+00	5.000000000000000000e+00
3.339999999999999858e+00	3.000000000000000000e+00
3.410000000000000142e+00	3.000000000000000000e+00
3.470000000000000195e+00	9.000000000000000000e+00
3.540000000000000036e+00	4.000000000000000000e+00
3.609999999999999876e+00	6.000000000000000000e+00
3.669999999999999929e+00	1.400000000000000000e+01
3.740000000000000213e+00	1.200000000000000000e+01
3.810000000000000053e+00	2.300000000000000000e+01
3.870000000000000107e+00	5.100000000000000000e+01
3.939999999999999947e+00	5.700000000000000000e+01
4.009999999999999787e+00	9.300000000000000000e+01
4.070000000000000284e+00	9.300000000000000000e+01
4.139999999999999680e+00	1.660000000000000000e+02
4.209999999999999964e+00	1.560000000000000000e+02
4.269999999999999574e+00	2.390000000000000000e+02
4.339999999999999858e+00	2.560000000000000000e+02
4.410000000000000142e+00	2.620000000000000000e+02
4.469999999999999751e+00	2.810000000000000000e+02
4.540000000000000036e+00	2.520000000000000000e+02
4.610000000000000320e+00	2.380000000000000000e+02
4.669999999999999929e+00	1.720000000000000000e+02
4.740000000000000213e+00	1.470000000000000000e+02
4.809999999999999609e+00	1.030000000000000000e+02
4.870000000000000107e+00	7.600000000000000000e+01
4.940000000000000391e+00	7.000000000000000000e+01
5.009999999999999787e+00	4.700000000000000000e+01
5.070000000000000284e+00	4.100000000000000000e+01
5.139999999999999680e+00	2.100000000000000000e+01
5.209999999999999964e+00	1.900000000000000000e+01
5.269999999999999574e+00	1.500000000000000000e+01
5.339999999999999858e+00	2.000000000000000000e+01
5.410000000000000142e+00	4.000000000000000000e+00
5.469999999999999751e+00	0.000000000000000000e+00
5.540000000000000036e+00	0.000000000000000000e+00
5.610000000000000320e+00	1.000000000000000000e+00
5.669999999999999929e+00	0.000000000000000000e+00
5.740000000000000213e+00	0.000000000000000000e+00
5.809999999999999609e+00	0.000000000000000000e+00
5.870000000000000107e+00	0.000000000000000000e+00
5.940000000000000391e+00	0.000000000000000000e+00
6.009999999999999787e+00	1.000000000000000000e+00
6.070000000000000284e+00	0.000000000000000000e+00
6.139999999999999680e+00	0.000000000000000000e+00
6.209999999999999964e+00	0.000000000000000000e+00
6.269999999999999574e+00	0.000000000000000000e+00
6.339999999999999858e+00	1.000000000000000000e+00
6.410000000000000142e+00	0.000000000000000000e+00
6.469999999999999751e+00	1.000000000000000000e+00
6.540000000000000036e+00	0.000000000000000000e+00
6.610000000000000320e+00	0.000000000000000000e+00
6.669999999999999929e+00	1.000000000000000000e+00
6.740000000000000213e+00	0.000000000000000000e+00
6.809999999999999609e+00	0.000000000000000000e+00
6.870000000000000107e+00	2.000000000000000000e+00
6.940000000000000391e+00	0.000000000000000000e+00
7.009999999999999787e+00	1.000000000000000000e+00
7.070000000000000284e+00	0.000000000000000000e+00
7.139999999999999680e+00	0.000000000000000000e+00
7.209999999999999964e+00	1.000000000000000000e+00
7.269999999999999574e+00	0.000000000000000000e+00
7.339999999999999858e+00	1.000000000000000000e+00
7.410000000000000142e+00	2.000000000000000000e+00
7.469999999999999751e+00	0.000000000000000000e+00
7.540000000000000036e+00	0.000000000000000000e+00
7.610000000000000320e+00	1.000000000000000000e+00
7.669999999999999929e+00	0.000000000000000000e+00
7.740000000000000213e+00	0.000000000000000000e+00
7.809999999999999609e+00	1.000000000000000000e+00
7.870000000000000107e+00	0.000000000000000000e+00
7.940000000000000391e+00	0.000000000000000000e+00
8.009999999999999787e+00	0.000000000000000000e+00
8.070000000000000284e+00	0.000000000000000000e+00
8.140000000000000568e+00	0.000000000000000000e+00
8.210000000000000853e+00	0.000000000000000000e+00
8.269999999999999574e+00	1.000000000000000000e+00
8.339999999999999858e+00	0.000000000000000000e+00
8.410000000000000142e+00	0.000000000000000000e+00
8.470000000000000639e+00	1.000000000000000000e+00
8.539999999999999147e+00	0.000000000000000000e+00
8.609999999999999432e+00	0.000000000000000000e+00
8.669999999999999929e+00	0.000000000000000000e+00
8.740000000000000213e+00	0.000000000000000000e+00
8.810000000000000497e+00	0.000000000000000000e+00
8.869999999999999218e+00	1.000000000000000000e+00
8.939999999999999503e+00	0.000000000000000000e+00
9.009999999999999787e+00	1.000000000000000000e+00
9.070000000000000284e+00	0.000000000000000000e+00
9.140000000000000568e+00	0.000000000000000000e+00
9.210000000000000853e+00	0.000000000000000000e+00
9.269999999999999574e+00	1.000000000000000000e+00
9.339999999999999858e+00	0.000000000000000000e+00
9.410000000000000142e+00	0.000000000000000000e+00
9.470000000000000639e+00	0.000000000000000000e+00
9.539999999999999147e+00	1.000000000000000000e+00
9.609999999999999432e+00	0.000000000000000000e+00
9.669999999999999929e+00	1.000000000000000000e+00
9.740000000000000213e+00	4.000000000000000000e+00
9.810000000000000497e+00	1.000000000000000000e+00
9.869999999999999218e+00	0.000000000000000000e+00
9.939999999999999503e+00	1.000000000000000000e+00
1.000999999999999979e+01	0.000000000000000000e+00
1.007000000000000028e+01	1.000000000000000000e+00
1.014000000000000057e+01	1.000000000000000000e+00
1.021000000000000085e+01	0.000000000000000000e+00
1.026999999999999957e+01	0.000000000000000000e+00
1.033999999999999986e+01	0.000000000000000000e+00
1.041000000000000014e+01	0.000000000000000000e+00
1.047000000000000064e+01	0.000000000000000000e+00
1.053999999999999915e+01	0.000000000000000000e+00
1.060999999999999943e+01	0.000000000000000000e+00
1.066999999999999993e+01	0.000000000000000000e+00
1.074000000000000021e+01	0.000000000000000000e+00
