E_1 / keV	N_1	E_2 / keV	N_2	E_3 / keV	N_3	E_4 / keV	N_4	E_5 / keV	N_5	E_6 / keV	N_6	E_8 / keV	N_8
6.27	1058	6.27	9	6.27	22	6.27	23	6.27	25	6.27	19	6.27	0
6.34	1180	6.34	4	6.34	12	6.34	34	6.34	25	6.34	22	6.34	3
6.41	1305	6.41	8	6.41	13	6.41	19	6.41	31	6.41	38	6.41	2
6.47	1257	6.47	14	6.47	16	6.47	31	6.47	25	6.47	29	6.47	3
6.54	1147	6.54	16	6.54	9	6.54	23	6.54	20	6.54	27	6.54	3
6.61	949	6.61	7	6.61	21	6.61	32	6.61	28	6.61	36	6.61	2
6.67	697	6.67	11	6.67	11	6.67	24	6.67	26	6.67	50	6.67	5
6.74	447	6.74	9	6.74	7	6.74	28	6.74	24	6.74	65	6.74	1
6.81	325	6.81	3	6.81	10	6.81	23	6.81	24	6.81	99	6.81	2
6.87	257	6.87	8	6.87	11	6.87	24	6.87	21	6.87	150	6.87	5
6.94	222	6.94	6	6.94	13	6.94	30	6.94	29	6.94	258	6.94	5
7.01	216	7.01	11	7.01	10	7.01	36	7.01	27	7.01	369	7.01	1
7.07	224	7.07	5	7.07	7	7.07	32	7.07	24	7.07	544	7.07	3
7.14	216	7.14	8	7.14	10	7.14	30	7.14	35	7.14	761	7.14	2
7.21	173	7.21	8	7.21	10	7.21	24	7.21	47	7.21	959	7.21	5
7.27	150	7.27	9	7.27	14	7.27	31	7.27	53	7.27	1136	7.27	2
7.34	104	7.34	6	7.34	2	7.34	29	7.34	84	7.34	1368	7.34	3
7.41	57	7.41	4	7.41	15	7.41	35	7.41	102	7.41	1668	7.41	4
7.47	43	7.47	8	7.47	7	7.47	42	7.47	203	7.47	1731	7.47	3
7.54	18	7.54	6	7.54	6	7.54	35	7.54	348	7.54	1749	7.54	1
7.61	16	7.61	8	7.61	10	7.61	37	7.61	501	7.61	1666	7.61	1
7.67	9	7.67	4	7.67	10	7.67	44	7.67	664	7.67	1394	7.67	2
7.74	1	7.74	4	7.74	2	7.74	47	7.74	985	7.74	1030	7.74	4
7.80	2	7.80	6	7.80	8	7.80	47	7.80	1194	7.80	734	7.80	0
7.87	0	7.87	7	7.87	7	7.87	74	7.87	1410	7.87	511	7.87	0
7.94	2	7.94	7	7.94	6	7.94	78	7.94	1759	7.94	354	7.94	0
8.00	4	8.00	7	8.00	4	8.00	136	8.00	2017	8.00	269	8.00	1
8.07	2	8.07	4	8.07	7	8.07	224	8.07	1973	8.07	269	8.07	0
8.14	2	8.14	6	8.14	5	8.14	377	8.14	2042	8.14	218	8.14	0
8.20	1	8.20	4	8.20	7	8.20	518	8.20	1883	8.20	272	8.20	1
8.27	3	8.27	5	8.27	11	8.27	739	8.27	1460	8.27	256	8.27	4
8.34	0	8.34	3	8.34	7	8.34	1002	8.34	1099	8.34	249	8.34	1
8.40	2	8.40	7	8.40	5	8.40	1252	8.40	713	8.40	231	8.40	3
8.47	1	8.47	7	8.47	7	8.47	1558	8.47	493	8.47	197	8.47	3
8.54	0	8.54	2	8.54	7	8.54	1775	8.54	282	8.54	151	8.54	1
8.60	0	8.60	6	8.60	6	8.60	1959	8.60	242	8.60	106	8.60	2
8.67	0	8.67	7	8.67	6	8.67	2073	8.67	218	8.67	64	8.67	2
8.74	0	8.74	5	8.74	3	8.74	2147	8.74	241	8.74	43	8.74	1
8.80	0	8.80	3	8.80	18	8.80	1860	8.80	264	8.80	26	8.80	2
8.87	2	8.87	3	8.87	3	8.87	1576	8.87	286	8.87	21	8.87	1
8.94	0	8.94	6	8.94	4	8.94	1185	8.94	297	8.94	15	8.94	2
9.00	0	9.00	6	9.00	10	9.00	801	9.00	304	9.00	7	9.00	1
